url,code,zone,zone_id,date,title,author,description,address,image_url,documents,categories,latitude,longitude,votes
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8486,8486,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,09/01/2026,Arreglo vestuarios Canterac,,Arreglo de los vestuarios de la piscina cubierta de CANTERAC debido a su mal estado,PISCINA CUBIERTA CANTERAC,,[],['Deportes'],,,4
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7600,7600,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,13/12/2025,Reubicación de pista multideportiva y parque en Teresa de Calcuta,,"Solicitamos la reubicación de la pista deportiva y del parque infantil situados en los antiguos cuarteles de Artillería, debido al grave impacto negativo que estas instalaciones están generando en la convivencia y bienestar de los vecinos del edificio colindante (y de los futuros edificios). La propuesta consiste en trasladar ambas zonas a otro punto del mismo entorno (por ejemplo, en la zona central del Parque de la Paz, ya que hay espacio para ello de sobra, más próximo al centro de vida activa) donde no afecten directamente a viviendas, garantizando el uso público sin perjudicar el descanso y la salud de los residentes.
Desde su apertura, la pista y el parque han originado un nivel de ruido continuo e inasumible: balonazos constantes, gritos, música a alto volumen y presencia de grandes grupos de personas durante todo el día y parte de la noche. Ya no sólo es un problema la pista por el ruido cotinuo; en el parque se han llegado a juntar hasta grupos de 30 personas para hacer meriendas. La zona se ha convertido en un lugar de reunión para la gente del barrio más que una zona de juegos. Incluso fuera del horario permitido se mantienen actividades que impiden el descanso, llegando a prolongarse hasta la madrugada. A esto se suman comportamientos incívicos persistentes: rotura de redes, pintadas, daños en el mobiliario, daños contra nuestra propiedad, etc.

Esta situación afecta directamente a la calidad de vida y salud de los vecinos, que sufren estrés, falta de descanso y la imposibilidad de disfrutar de sus viviendas con normalidad, como cualquier otra persona de la ciudad. Las llamadas a la policía son constantes, pero no pueden ofrecer una solución permanente, ya que el problema no es puntual, sino estructural: la instalación se encuentra demasiado cerca de las viviendas y funciona como punto de reunión masivo y ruidoso.
Beneficios de la propuesta:
• Permitiría que los vecinos recuperen el descanso y la tranquilidad en sus hogares.
• Reduciría problemas de convivencia e incivismo.
• Mantendría el uso deportivo y de ocio sin eliminar servicios para el barrio.
• Mejoraría la percepción de seguridad en la zona.
• Evitaría intervenciones policiales continuas.
• Facilitaría un espacio de juegos y deporte más seguro, amplio y adecuado.
No se plantea eliminar la pista ni el parque, sino ubicarlos en un área que no genere perjuicios a los residentes, garantizando un equilibrio real entre ocio, deporte y convivencia vecinal. La reubicación es una medida necesaria, proporcionada y beneficiosa para todas las partes. Los vecinos estamos desesperados y necesitamos una solución real y urgente.","Calle Teresa de Calcuta, 23",https://www10.ava.es/presupuestosparticipativos/system/images/attachments/000/001/344/large/4de004687e3f2afc1bae619371328839f6480819.jpg,[],"['Medio Ambiente - Limpieza"" ""Ruido molesto', 'Ruidos', 'reubicación parque', 'reubicación pista deportiva']",41.635758407139,-4.727270007134052,11
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8398,8398,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,09/01/2026,CARRIL BICI PINAR DE JALÓN-CENTRO + INSONORIZAR VA-30,,"Resulta imposible ir en bici desde Pinar de Jalón al centro por carrilbici,ya que no hay. En la av. de Madrid no hay ni acera, la av. de Segovia hay que ir por la acera, esquivando baldosas rotas y por la calle Annapurna que sería lo ideal continuar el carril bici existente hasta el Paseo Juan Carlos, carril bici y urbanizar esa calle hasta la ""ciudad"", que parece que no somos Valladolid.
Además, conectar el barrio con el carril bici ya existente en la ronda, que señalo en el mapa.
Esta propuesta es viable, ya que se dispone de mucho espacio, y favorece el uso de la bicicleta como medio de movilidad personal.
A parte:
Muy necesarioinsonorizarla VA-30 dado el alto tráfico que sostiene que conlleva a un alto nivel de ruido para los vecinos de Pinar de Jalón.

Quiero participar en la mesa de zona de mi propuesta.",Pinar de Jalón,https://www10.ava.es/presupuestosparticipativos/system/images/attachments/000/001/643/large/4de004687e3f2afc1bae619371328839f6480819.jpg,[],"['Deportes', 'Transportes y movilidad', 'Seguridad y emergencias']",41.6163590279835,-4.7163480507970235,33
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7829,7829,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,19/12/2025,AMPLIACION CENTRO VIDA ACTIVA ARCA REAL,,"Ampliar el centro de vida activa en Arca Real, ocupando la totalidad de la antigua nave que ocupaba Mercadona.
La ampliación incluiría el aumento del número de usuarios en el Centro de Día.y ampliación de la Biblioteca.","Centro de Vida Activa Arca Real, Delicias",,[],"['Igualdad', 'Servicios sociales', 'Educación', 'Cultura']",41.6312772058654,-4.726284028147006,6
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7901,7901,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,26/12/2025,Mejoras del poligono ya,,Hola buenas no se cuando piensan mejorar la calle Vazquez de menchaca porque la de alado la mejoraron muy chula con Bancos zona verdes rotondas mejoradas pero los que trabajamos en ese tramo de calle como itv auvasa y demas es una calle de las peores de todo el poligono no exiten bancos pocas zonas verdes muy pocas papeleras muchas basura muchas hiervas tienen para crear una estacion de trenes que no es necesaria y ni sobterramiento ni mejoran el poligono ni usan la vieja via del tren pa construir un paseo verde y carril bici que una Laguna de duero con valladolid solo gastan en cosas que la ciudad no son urgentes,,,[],[],,,2
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8259,8259,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,08/01/2026,Parque infantil Barrio Arcas Reales,,"El barrio de Arcas Reales no cuenta con casi ninguna instalación infantil, solo hay dos zonas en la calle Arca 8 y en la calle Arca 6 con calle Viaje de aguas, estas instalaciones son muy pequeñas, anticuadas, sucias y sin ningún tipo de mantenimiento por lo que nadie las utiliza.
El barrio ha crecido mucho en los últimos años y sigue creciendo ya que hay muchas viviendas en construcción, además la población de la zona esta formada principalmente por familias con niños.
Un parque infantil decente y bien dotado con toboganes, columpios, juegos, suelo acolchado...se podría ubicar en Arca 6 con Viaje de aguas ya que hay espacio y es accesible, así como en alguna de las parcelas de la zona.
El parque daría mucha alegría al barrio, sería muy utilizado y evitaría que tuviéramos que desplazarnos en coche a otros parques.",,,[],"['Servicios sociales', 'Medio Ambiente - Limpieza', 'Educación', 'Cultura']",41.6187010893123,-4.731530528516032,10
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7629,7629,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,15/12/2025,Abrir ambulatorio de  especialidades en  delicias calle trabajo (Inadmitida),,"mejorar el barrio lleva muchos años cerrado y nos mandan a los especialistas al ambulatorio arturio iris
Es una pregunta que refleja una preocupación muy constante y activa en el barrio de Delicias, donde asociaciones vecinales y plataformas llevan tiempo movilizándose y reclamando la reapertura.
La razón principal por la que el Centro de Especialidades de Delicias (ubicado en la calle Trabajo) no está abierto es que la decisión sobre su uso y dotación depende de la Junta de Castilla y León a través de la Consejería de Sanidad (SACYL).
Según la información y el contexto de las protestas vecinales, la situación se resume así:
1. El Cierre y la Situación Actual
Cierre: El Centro de Especialidades de la calle Trabajo lleva cerrado varios años (desde 2017).
Reivindicación Vecinal: Las asociaciones de vecinos y las plataformas en defensa de la sanidad pública han exigido de manera constante su reapertura, argumentando que es un equipamiento esencial para un barrio con un gran volumen de población (más de 55.000 personas).
Posición del Ayuntamiento: El Pleno del Ayuntamiento de Valladolid (con el apoyo de todos los grupos políticos) también ha aprobado mociones para reclamar a la Junta de Castilla y León que reabra el centro de especialidades ""a la mayor brevedad"".
2. El Argumento Principal para el No-Uso
La Junta de Castilla y León no ha procedido a su reapertura completa para especialidades. Las plataformas vecinales y los grupos de oposición suelen denunciar que esta situación es un caso de ""abandono sanitario"" y que se ha bloqueado la reapertura con diversas ""excusas"".
Las autoridades sanitarias de la Junta, a lo largo del tiempo, han justificado la situación con argumentos relacionados con la reordenación de los servicios sanitarios y la centralización de algunas especialidades en el Hospital Universitario Río Hortega.
En resumen, la falta de apertura se debe a una decisión política y de gestión de recursos de la Junta de Castilla y León, que es el organismo competente en materia de sanidad, a pesar de la reiterada demanda social y el apoyo institucional del Ayuntamiento de Valladolid para su reapertura.
Como le mencioné antes, si quiere ejercer presión directa sobre este tema, le recomiendo dirigirse a las vías de reclamación de la Junta de Castilla y León/SACYL, o participar en las movilizaciones de las asociaciones vecinales del barrio, que son las que mantienen viva la reivindicación.",,,[],[],41.6333597370682,-4.727133750129951,4
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8209,8209,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,08/01/2026,Salida del tunel de panaderos para bicis,,Acabar la obra del tunel de labradores para bicis y que puedan salir hacia la avenida segovia.,puente de panaderos salida a delicias,,[],['Urbanismo'],41.6428212564735,-4.721548972029041,11
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8501,8501,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,09/01/2026,regular el trafico (Inadmitida),,"regular el trafico en la calle armonio, se circula con mucha velocidad, queria que se pusiera un paso de cebra mas arriba del que esta, porque el que esta es un peligro",calle armonio,,[],['Transportes y movilidad'],,,0
https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8166,8166,"1. Zona Este 1: Delicias, Nuevo Hospital, Pinar de Jalón, Polígono San Cristóbal, Polígono Argales",1,07/01/2026,Reforma integral polideportivo canterac,,"1. Ampliación de la sala de musculación del polideportivo canterac
2. Equipamientos a la musculación: sería necesario colocar más máquinas del mismo tipo para cada grupo muscular ( varias máquinas de pierna, prensas, multipower, etc). Actualmente contamos con una única máquina para cada grupo muscular lo que dificultan poder hacer la rutina con fluidez debido a que prácticamente la mayoría de los días la sala está congestionada es decir hay un número de usuarios elevado y cuando necesitas realizar un ejercicio que requiere del uso de una máquina la cual esta está ocupada no puedes hacer dicho ejercicio y al ir a preguntar a la persona que está utilizandola que es cuánto le queda para desocuparla te dice que tiene tres o cuatro personas como mucho detrás de él esperando para utilizarla y te toca irte a tu casa sin poder haber hecho la mitad de la rutina muchos días
3. Pista polideportiva: sería necesario reparar la cubierta de toda la instalación porque normalmente los días que llueve es imposible realizar clase en la pista principal debido a que esta está repleta de cubos por todos lados debido al número de goteras con el que contamos en el lugar el cual cada vez es mayor
4. Material clases: sería ideal contar con barras de peso, mancuernas, ketelbell, de pesos más elevados porque somos muchos en las clases los que estos materiales de dos o tres kilos no nos sirven debido a que es poco peso para nuestros cuerpos
5. Sería ideal que se renovaran las duchas tanto de los vestuarios de la piscina como de la zona de musculación y clases dirigidas haciendo que cada zona de lavado sea individualizada teniendo sus dos paredes y su puerta y no compartir ducha y espacio con otras personas porque hay mucha gente que le gusta la intimidad y no quiere que se le vea duchándose
Nota: si el tema ha comentado anteriormente de la ampliación de la sala de musculación no fuese posible lo que pediría es que se añadan más máquinas haciendo uso de la sala que está vacía en el lado izquierdo de la grada de la pista polideportiva
Quiero participar en la mesa de zona de mi propuesta.",,,[],[],41.6335395100968,-4.719033822693973,8
